pricingId,matchId,sectionId,price
PRC_MTH01_SEC_STD01_A,MTH01,SEC_STD01_A,1000000.0
PRC_MTH01_SEC_STD01_B,MTH01,SEC_STD01_B,600000.0
PRC_MTH01_SEC_STD01_C,MTH01,SEC_STD01_C,400000.0
PRC_MTH01_SEC_STD01_D,MTH01,SEC_STD01_D,280000.0
PRC_MTH02_SEC_STD02_A,MTH02,SEC_STD02_A,500000.0
PRC_MTH02_SEC_STD02_B,MTH02,SEC_STD02_B,300000.0
PRC_MTH03_SEC_STD01_A,MTH03,SEC_STD01_A,500000.0
PRC_MTH03_SEC_STD01_B,MTH03,SEC_STD01_B,300000.0
PRC_MTH03_SEC_STD01_C,MTH03,SEC_STD01_C,200000.0
PRC_MTH03_SEC_STD01_D,MTH03,SEC_STD01_D,140000.0
PRC_MTH04_SEC_STD01_A,MTH04,SEC_STD01_A,625000.0
PRC_MTH04_SEC_STD01_B,MTH04,SEC_STD01_B,375000.0
PRC_MTH04_SEC_STD01_C,MTH04,SEC_STD01_C,250000.0
PRC_MTH04_SEC_STD01_D,MTH04,SEC_STD01_D,175000.0
